Sie lachte mich aus.	She laughed at me.
Niemand weiß die Antwort.	No one knows the answer.
Ich brauche deine Hilfe.	I need your help.
Ich bin gegen den Krieg.	I'm against the war.
Sie wurde Letzte.	She came last.
Kocht ihr gern?	Do you like cooking?
Mache dir selbst ein Bild!	Judge for yourself.
Alle reden gut über sie.	Everybody speaks well of her.
Sag das nicht noch mal!	Don't repeat that.
Du solltest kommen.	You should come.
Warum siehst du mich so an?	Why are you looking at me like that?
Ich bewundere sie wirklich.	I admire her truly.
Mir schmeckt dein Kaffee.	I like your coffee.
Seine Frau war wütend.	His wife was mad.
Ich mag deine Haare.	I love your hair.
Sie können dich nicht hören.	They can't hear you.
Es gibt nicht viel Hoffnung.	There is not much hope.
Machen Sie den Motor aus.	Cut the engine.
Es wird bald dunkel werden.	It will soon grow dark.
Wir liefen der Katze nach.	We ran after the cat.
Ich bin hier fast fertig.	I'm almost done here.
Der Film fängt gleich an.	The movie's about to start.
Mach das Fenster auf.	Open the window.
Höre auf dein Herz!	Listen to your heart.
Hat sie ein Hobby?	Does she have a hobby?
Mach bitte den Fernseher an.	Please turn on the TV.
Sie war dafür nicht bereit.	She wasn't ready for it.
Das hat ihr gefallen.	She liked it.
Das Mädchen lächelte mich an.	The girl smiled at me.
Bis morgen früh!	I'll see you in the morning.
Das hilft nicht.	This isn't helping.
Wer arbeitet heute Abend?	Who's working tonight?
Ich gehe zur Polizei.	I'm going to the police.
Ich finde die Zeitung nicht.	I can't find the newspaper.
Dies sind sehr alte Bücher.	These are very old books.
Bleibe noch ein wenig hier!	Stay here a little longer.
Gehst du nun oder nicht?	Are you going to go or not?
Ich kannte sie damals nicht.	I didn’t know her at the time.
Sie liegt auf dem Boden.	She's lying on the floor.
Wo zum Teufel warst du?	Where on earth were you?
Gibt es morgen Regen?	Will it rain tomorrow?
Wer will Tee?	Who wants tea?
Das bildest du dir nur ein.	It's just your imagination.
Sei ruhig und hör mir zu.	Be quiet and listen to me.
Sie liest gern Bücher.	She likes to read books.
Sie selbst half ihm.	She herself helped him.
Er stimmte ihnen zu.	He agreed to what they said.
Das Buch war neu.	This book was new.
Das wollten Sie doch, oder?	That's what you wanted, isn't it?
Bist du glücklich?	Are you happy?
Sonst noch etwas?	Anything else?
Ich komme zurück.	I'm coming back.
Brauchst du einen Wagen?	Do you need a car?
Was denken Sie wirklich?	What do you really think?
Er starrte mich an.	He stared at me.
Er tat bloß so.	He was only shamming.
Das hängt von dir ab.	It is up to you.
Die Frau liest Englisch.	The woman reads English.
Ich dusche mich gerade.	I'm taking a shower right now.
Sie sprechen über uns.	They speak about us.
Er nahm seinen Hut ab.	He took off his hat.
Sie lesen sein Buch.	They're reading his book.
Ziehen Sie sich etwas an!	Put some clothes on.
Was bedeutet dieser Satz?	What is the meaning of this phrase?
Du bist das schuld.	This is your fault.
Ich bin mir da nicht sicher.	I'm not sure about this.
Sage mir, was wir hier tun!	Tell me what we're doing here.
Sind Sie wütend?	Are you mad?
Es geht nicht nur ums Geld.	It's not just about the money.
Ich mag lieber Kaffee.	I like coffee better.
Niemand hält mich auf!	Nobody can stop me!
Sie sang besser als er.	She sang better than he.
Mit welchem Zug kommst du?	Which train will you arrive on?
Wir wollen mit dir reden.	We want to talk to you.
Es wird bald dunkel sein.	It will be dark soon.
Das funktioniert nicht!	That won't work!
Das funktioniert nicht.	This isn't working.
Lesen Sie dieses Buch!	Read this book.
Du darfst jetzt gehen.	You may go now.
Bleibt nicht hier!	Don't stay around here.
Kennst du uns?	Do you know us?
Ich werde Sie nie verstehen.	I'll never understand you.
Ich werde den Tee trinken.	I will drink the tea.
Ich brauche neue Schuhe.	I need a new pair of shoes.
Ich beneide Sie nicht.	I don't envy you.
Stehen Sie nicht auf.	Don't stand up.
Das wäre ein Fehler.	This would be a mistake.
Wie denkst du über all das?	What do you think of all this?
Ich bin fertig zu gehen.	I'm ready to go.
Gehe nicht weg!	Don't leave!
Sein Haus war klein und alt.	His house was small and old.
Sie trinkt gerade Kaffee.	She is having coffee now.
Ich hasse meine Freunde!	I hate my friends!
Nein, ich will nicht.	No, I don't want to.
Wie lange dauert das noch?	How much longer is this going to take?
Da war niemand im Garten.	There was nobody in the garden.
Er wird nicht ja sagen.	He will not say yes.
Wir essen mit dem Mund.	We eat with our mouths.
Sprichst du mit deinem Hund?	Do you talk to your dog?
Ich glaube, ich bin kalt.	I think I am cold.
Sie lächelt mir immer zu.	She always smiles at me.
Ich möchte etwas Kuchen.	I want some cake.
Er trank sein Bier aus.	He finished his beer.
Sie lächelte ihn an.	She smiled at him.
Kommen Sie?	Are you coming?
Sie kommen.	They're coming.
Er bat mich, ihm zu helfen.	He asked for my assistance.
Wie lange dauert es noch?	How much longer is it going to take?
Ich erwarte viel von ihm.	I expect much of him.
Ich warte bis vier Uhr.	I'll wait till four o'clock.
Ich mache Ihnen ein Angebot.	I've got a proposition for you.
Ich glaube, es funktioniert.	I think it works.
Bitte, trinken Sie etwas!	Please have a drink.
Wer liebt den Sohn?	Who loves the son?
Wir sind per du.	I know him by his first name.
Muss ich zur Party gehen?	Is it necessary for me to attend the party?
Das hat immer einen Sinn.	This always has a meaning.
Warum mag er mich nicht?	Why doesn't he like me?
Keiner von uns will das.	None of us want that.
Ich sehe, wie du lernst.	I see how you study.
Sie liebt Kaffee.	She loves coffee.
Wir verstehen uns sehr gut.	We get on very well.
Sie steht unter der Dusche.	She's in the shower.
Was haben Sie im Sinn?	What's in your mind?
Sie sollten besser gehen.	You'd better go.
Ich bin genauso alt.	I am the same age.
Du wirst zur Schule gehen.	You will go to school.
Ich denke genauso wie du.	I think the same as you.
Mir geht's gut.	I'm doing fine.
Sei bitte nicht böse!	Please don't be angry!
Ich hoffe, das stimmt nicht.	I hope it's not true.
Vater hörte auf zu trinken.	Father stopped drinking.
Ich werde im Stehen essen.	I'll eat standing up.
Er lächelte das Mädchen an.	He smiled at the girl.
Das Baby lächelte mich an.	The baby smiled at me.
Sie lächelte ihr Baby an.	She smiled at her baby.
Sie hatten sonst nichts.	That's all they had.
Dieser Tee schmeckt gut.	This tea tastes good.
Sie fiel mir ins Auge.	She caught my eye.
Bitte mehr Kaffee.	More coffee, please.
Er sollte kommen.	He was supposed to come.
Ich kann dir nicht helfen.	I can't help you.
Ich kann nicht stehen.	I can't stand.
Ihre Kuchen sind gut.	Their cakes are good.
Ich war zwei Mal in Paris.	I've been to Paris twice.
Ich kann kein Fleisch essen.	I can't eat meat.
Sie hat einen neuen Freund.	She has a new boyfriend.
Das wird dir nicht helfen.	That won't help you.
Was hast du im Sinn?	What do you have in mind?
Sie hassen uns.	They hate us.
Diese Hunde sind groß.	These dogs are big.
Ich lese einen Brief.	I am reading a letter.
Wir waren zuerst da.	We arrived first.
Du solltest die Fünf nehmen.	You should take the number 5 bus.
Das sollte ein Witz sein.	I meant it as a joke.
Ziehen Sie sich bitte an.	Please get dressed.
Was könnt ihr mir geben?	What can you give me?
Es geht uns beiden gut.	We're both fine.
Was geht da oben vor sich?	What's going on up there?
Das war einfach nur dumm.	That was just plain stupid.
Sie war blass vor Angst.	She was pale with fear.
Kennen Sie diese Leute?	Do you know those people?
Ich hasse Kinder.	I can't stand kids.
Ich war wütend.	I was furious.
Fast drei.	Almost three.
Du bildest dir das alles ein.	It's all in your imagination.
Ich verstehe, was Sie sagen.	I hear you.
Lesen Sie diesen Satz nicht.	Don't read this sentence.
Ich mag den Frühling nicht.	I do not like spring.
Du solltest besser gehen.	You'd better go.
Das dauerte nicht lange.	That didn't take long.
Ich mache mir Sorgen um ihn.	I worry about him.
Der Hund rennt aus dem Haus.	The dog runs out of the house.
Er trinkt Wasser.	He is drinking water.
Das wäre genug.	That would be sufficient.
Wir rufen Sie an.	We'll call you.
Wem gehört die Zeitung hier?	Whose newspaper is this?
Ich kannte ihn damals nicht.	I didn’t know him at the time.
Was, zum Teufel, tust Du?	What the devil are you doing?
Ich weiß, dass es hier spukt.	I know this place is haunted.
Macht Liebe, nicht Krieg.	Make love, not war.
Ich muss langsam gehen.	I have to walk slowly.
Nimm mich mit zu dir.	Take me to your place.
Ich stehe früh auf.	I get up early.
Ich werde verrückt.	I'm going crazy.
Bitte ruft ihn an.	Please call him up.
Habt ihr Kinder?	Do you have kids?
Ich verstehe.	I understand.
Wir wohnen in einem Haus.	We live in a house.
Wir kommen morgen zurück.	We will come back tomorrow.
Wo kaufte sie Bücher?	Where did she buy books?
Ich bin nicht gut in Form.	I'm not in good shape.
Er studiert Tag und Nacht.	He studies day and night.
Wir sind gegen den Krieg.	We are against war.
Ich will lernen.	I want to learn.
Es regnet kaum.	It is hardly raining.
Warst du dort?	Were you there?
Sie hörte ihn weinen.	She heard him cry.
Was haben wir getan?	What have we done?
Ich habe dich auch vermisst!	I've missed you, too.
Ich rufe Sie später zurück.	I'll call you back later.
Er badet sich jeden Morgen.	He has a bath every morning.
Sie sehen sehr blass aus.	You look very pale.
Es war schön warm im Haus.	It was nice and warm inside the house.
Ich lerne gerne Französisch.	I like to study French.
Ziehen Sie sich bitte aus!	Take your clothes off please!
Sie lehnte meine Bitte ab.	She turned down my request.
Er versteht seine Arbeit.	He's good at his job.
Das wird ihr gefallen.	She's going to love this.
Er mag kein Eis.	He does not care for ice cream.
Was lernen Sie?	What do you learn?
Er kocht gern.	He likes to cook.
Ich habe keinen Hunger mehr.	I'm not hungry anymore.
Das passiert ab und an.	That happens sometimes.
Eine Tasse Tee, bitte.	A cup of tea, please.
Muss ich lernen?	Do I have to study?
Ich muss lernen.	I have to study.
Mach sie aus.	Turn it off.
Ich brauche seine Hilfe.	I need his help.
Ich stehe um sechs auf.	I get up at six.
Sie nahm sein Angebot an.	She took up his offer.
Ich habe viele Träume.	I have a lot of dreams.
Gehe über den Fluss!	Go across the river!
Ich mag auch Kuchen.	I also like cake.
Reden Sie nicht so.	Don't talk like that.
Essen kostet Geld.	Food costs money.
Er lernt schnell.	He is quick to learn.
Sie spielt sehr gut Klavier.	She plays the piano very well.
Und was wollt ihr machen?	And what do you do?
Wir haben nichts getan.	We didn't do anything.
Nein, nicht zu viel.	No, not too much.
Die Schüler waren alle dort.	All the students were there.
Ich dachte, sie liebt mich.	I thought she loved me.
Der Hund muss Hunger haben.	The dog must be hungry.
Warum sind Sie noch hier?	Why are you still here?
Er kann Französisch.	He can speak French.
Ich liebe Hunde.	I love dogs.
Ich rede gern.	I like to talk.
Mach das aus.	Turn it off.
Ich war zu der Zeit Student.	I was a student at that time.
Er bleibt nie lange am Ball.	He can't stick to anything very long.
Was bedeutet dieses Wort?	What does this word mean?
Du verstehst mich nicht.	You don't understand me.
Jetzt trinkt er Kaffee.	He is having coffee now.
Er trinkt jetzt Kaffee.	He is having coffee now.
Ich beneide dich nicht.	I don't envy you.
Habt ihr einen Plan?	Do you have a plan?
Reden Sie mit mir?	Are you speaking to me?
Mach was er sagt!	Do what he says.
Möchten Sie mit uns spielen?	Would you like to play with us?
Was für Hilfe brauchst du?	What kind of help do you need?
Ich spreche nicht Deutsch.	I don't speak German.
Sie machte ihn glücklich.	She made him happy.
Er kam um etwa vier Uhr.	He came at about four o'clock.
Stehe ich euch im Weg?	Am I in your way?
Du wirst mir fehlen.	I'll miss you.
Ich gehe zurück.	I'm going back.
Wie geht's dir?	How are you?
Der Lärm macht mich verrückt.	The noise is driving me crazy.
Morgen werde ich fehlen.	I'll be absent tomorrow.
Die Katze trinkt Milch.	The cat drinks milk.
Das Zimmer war heiß.	The room was hot.
Ich hole das Auto.	I'll get the car.
Ich bin auf dem Dach.	I'm on the roof.
Sie wurde glücklich.	She became happy.
Ihr seid reich.	You are rich.
Mach es aus.	Turn it off.
Ich liebe diese Stadt.	I love this town.
Das muss getan werden.	It has to be done.
Es war heiß gestern.	It was hot yesterday.
Gestern war es heiß.	Yesterday was hot.
Meine Idee ging gegen seine.	My idea went against his.
Du bist blind vor Liebe.	You are blinded by love.
Die Liebe macht dich blind.	Love is blinding you.
Wie geht es Ihrer Familie?	How is your family?
Ich habe kaum Geld dabei.	I have hardly any money with me.
Es war meine Schuld.	It was my fault.
Bitte mach das!	Please do that.
Was magst du?	What do you like?
Glaube mir!	Believe you me.
Glaube mir.	Believe me.
Ich denke, du gehst besser.	I think you'd better leave.
Wird die Polizei kommen?	Will the police come?
Jemand öffnete die Tür.	Someone opened the door.
Ich beneide ihn nicht.	I don't envy him.
Vom Essen und Trinken	Of food and drink
Setzen Sie sich doch.	Have a seat, won't you?
Komm, bitte, nicht zu spät.	Please don't be late.
Ich bin mit ihm bekannt.	I am acquainted with him.
Bist du wütend?	Are you furious?
Das von gestern tut mir leid.	I'm sorry about what happened yesterday.
Nehmen Sie einen Bus.	Take a bus.
Du musst sofort los.	You must go at once.
Mach deine Augen zu.	Close your eyes.
Sie sind beide tot.	They're both dead.
Es war so dunkel.	It was so dark.
Machen Sie die Flasche auf.	Open the bottle.
Sie kann nicht gut kochen.	She can't cook well.
Er kann dir nicht helfen.	He can't help you.
Wissen Sie, wo ich wohne?	Do you know where I live?
Die Hunde sind im Garten.	The dogs are in the garden.
Ruft sie heute Abend an.	Call them this evening.
Ich brachte sie zum Weinen.	I made her cry.
Möchten Sie noch ein Bier?	Would you like to have another beer?
Sie sollten lieber gehen.	You had better go.
Fünf und drei macht acht.	Five plus three is eight.
Wir sind wegen dir hier.	We're here because of you.
Die Uhr geht falsch.	The clock is wrong.
Geht's dir gut?	Are you feeling OK?
Geht ins Bett!	Go to bed.
Dieses Auto fährt mit Gas.	This car runs on natural gas.
Sie sind tapferer als ich.	You're braver than me.
Ich nehme das Angebot an.	I accept the offer.
Sie geben zu leicht auf.	You give up too easily.
Wir geben ihm den Apfel.	We give him the apple.
Weiß dein Vater davon?	Does your father know?
Ihr Sohn wurde größer.	Their son grew bigger.
Du hast vier Hunde.	You have four dogs.
Das wäre gar nicht so dumm.	That wouldn't be so stupid.
Ich war zwei Mal in Kyoto.	I've been to Kyoto twice.
Wir haben keinen Zucker mehr.	We're out of sugar.
Das war mir nicht klar.	I didn't realise.
Er war müde vom Lesen.	He was tired from reading.
Wo arbeiten Sie?	Where do you work?
Bitte mich nicht darum!	Don't ask me to do that.
Sie müssen sofort los.	You must go at once.
Sie schaute mich an.	She looked at me.
Er und ich sind Brüder.	He and I are brothers.
Hier wird alles verkauft.	They sell everything here.
