active	aktiv<br>aktiver<br>am aktivsten 
wireless	drahtlos, kabellos 
with, also	mit 
without	ohne 
without delay <br>immediate <br>prompt	unverzüglich 
to be worn out, ineffective	abgenützt 
worthless	wertlos 
enthusiastic	begeistert 
yes <br>no <br>maybe <br>	ja <br>nein <br>vielleicht, kann sein 
bankrupt <br>broke	bankrott <br>pleite 
homeless	obdachlos 
the suffering	das Leiden -- NOTE: das Leid -- = distress, sorrow 
the abyss, <br>chasm, <br>precipice	der Abgrund -gründe 
the acceleration	die Beschleunigung -en 
the accordion	das Akkordeon -s<br>die Ziehharmonika -s/-en 
the acid	die Säure -n 
the acquisition	der Ankauf -äufe<br>der Erwerb -e<br>die Beschaffung -en 
the acquittal	der Freispruch -sprüche 
the act, action, plot, story	die Handlung -en 
the act, <br>deed, <br>action	die Tat -en<br>der Akt -e 
the activist <br>campaigner	der Aktivist -en 
the added value	die Wertschöpfung -en 
the addition, <br>attachment	der Zusatz -sätze <br>der Anhang -hänge 
the adhesive tape	der Klebstreifen " 
the adjournment, <br>postponement 	die Vertagung -en 
the adjustment, pretense	die Verstellung -en 
the administrator	der Verwalter " 
the admiration	die Bewunderung -en 
the confession, admission	das Geständnis -se 
the focus	der Fokus Fokusse 
the advocate [speaker]	der Fürsprecher "<br>die Fürsprecherin -nen 
the affair, matter, business	die Angelegenheit -en 
the affection	die Zuneigung -en 
the age	das Alter " Ein hohes Alter<br>Neu für Alt<br>Alter vor Schönheit <br>Er hat mein Alter = He is my age 
the age, era	das Zeitalter " 
the aggression	die Aggression -en<br>die Aggressivität -en 
the agony, <br>pain, suffering 	die Qual -en Die Qual der Wahl ! 
the gear <br>aisle, corridor <br>meal course <br>gait <br>gang	der Gang Gänge 
the alarm clock, bell, ringer	der Wecker " 
the all-clear announcement	die Entwarnung -en 
the alleviation, relief [from pain]	die Linderung -en 
the alliance	die Allianz -en<br>das Bündnis -se 
the almond nut, <br>tonsils	die Mandel -n 
the ambassador, envoy	der Gesandte -n 
the ambiguity	die Zweideutigkeit -en 
the ambulance	der Krankenwagen "<br>der Rettungswagen " 
the ammunition	die Munition -en 
the angel	der Engel " 
the animal collar	das Halsband -bänder 
the ankle	das Fußgelenk -e<br>der Knöchel " 
the tissue [paper]	das Tissuepapier -e 
the annoyance	die Belästigung -en <br>der Ärger -- 
the ant	die Ameise -n 
the antarctic	die Antarktis -- 
improper, <br>unbecoming, <br>unseemly 	ungehörig <br>unpassend <br>unkorrekt 
the aperture <br>shutter <br>blind <br>screen	die Blende -n 
the appeal, attraction, stimulus	der Reiz -e 
to appeal 	appellieren Sie appellierte an seine Vernunft. 
the applause	der Applaus --<br>der Beifall -- 
the landing approach by an aircraft	der Anflug -flüge 
the apron	die Schürze -n 
the arbitrariness	die Willkür -- Er hat ein Beispiel willkürlich herausgreifen. 
the arch of foot	das Fußgewölbe -- 
the arctic	die Arktis " 
the area, ground, terrain	das Gelände -- 
the armchair	der Sessel -- 
the armpit	die Achsel -n 
the army	die Armee -n <br>das Heer -e 
the arrest	die Verhaftung -en 
the arrival	die Ankunft --<br>das Ankommen -- 
the english [language, pronunciation]	das Englisch -- [Sprache, Aussprache] Du hast dein Englisch verbessert. 
the artist	der Künstler -- <br>die Künstlerin -nen NOTE: die Kunst [ohne Umlaut] 
the ash tree	die Esche -n 
the donkey, <br>mule	der Esel -- <br>das Maultier -e 
the assassination 	das Attentat -en NOTE: die Tat -en = act, deed 
the assessment, estimate	die Einschätzung -en 
the assets, fortune	das Vermögen " 
the assistant	der Assistent -en<br>die Assistentin -nen der Assistent is weak noun...<br>Singular den/dem/des Assistenten 
the assumption	die Vermutung -en<br>die Annahme -n 
the promise, <br>assurance	die Versprechung -en<br>die Versicherung -en<br>die Zusicherung -en 
the asteroid	der Asteroid -en der Asteroid is weak noun...<br>Singular den/dem/des Asteroiden 
the attack	die Attacke -n <br>der Angriff -e 
the impact	der Anschlag -äge<br>der Aufprall -e 
the attacker	der Angreifer " 
the attention, alertness	die Aufmerksamkeit -en 
the store, storage, loft, <br>memory	der Speicher -- Dat.pl: -n 
the auction	die Versteigerung -en 
the author, writer	der Autor -en, die Autorin -nin <br>der Schriftsteller --, die Schriftstellerin -nen <br>der Verfasser " 
the entitlement, justifiability	die Berechtigung -en 
the autopsy <br>postmortem	die Autopsie -n 
the availability	die Verfügbarkeit -en 
the avocado	die Avocado -s 
the award, <br>surcharge	der Zuschlag -schläge 
the award, distinction, accolade	die Auszeichnung -en 
the background	der Hintergrund -gründe 
the backing, support	der Rückhalt -e <br>die Stutze -n 
the bad luck	das Pech -e 
the bail <br>security payment [against damages]	die Kaution -en 
the bait	der Köder " 
the balance, <br>equilibrium	das Gleichgewicht -e Dat.pl: -en 
the ballast	der Ballast -e 
the balloon	der Ballon -s 
the Baltic Sea	die Ostsee -- 
the bandage, sling, armband	die Binde -n <br>der Verband Verbände 
the banishment	die Verbannung -en 
the bank loan, <br>mortgage	das Darlehen " <br>die Hypothek -en 
the robbery, <br>theft 	der Raub -e <br>der Überfall -fälle<br>der Einbruch -brüche <br>der Diebstahl -stähle 
the bankruptcy, <br>bankrupt, <br>broke	der Bankrott -e<br>die Pleite -n 
the flag, <br>banner	die Flagge -n <br>die Fahne -n <br>das Banner " Dat.pl: -n 
the bar in a pub, <br>counter, bench 	die Tresen --<br>die Theke -n 
the rake [gardening tool]	die Harke -n 
the barbarity, <br>barbarism	die Barbarei -n 
the barbed wire	der Stacheldraht -drähte 
the bargain	das Schnäppchen " 
the barn	die Scheune -n 
the barrel, keg, cask	das Fass Fässer 
the basin, <br>sink, <br>wash/hand basin	das Becken " <br>das Spülbecken " <br>das Waschbecken " 
as <br>than <br><br>[when used for comparisons]	wie <br>als so größ wie... as large as...<br>größer als... larger than... 
the basket	der Korb Körbe 
the bat [flying fox]	die Fledermaus -mäuse 
the beak, bill [bird]	der Schnabel -näbel 
the beard, <br>facial hair, <br>stubble 	der Bart Bärte <br>die Bartstoppeln " 
the finger print	der Fingerabdruck -drücke 
the bed sheet	das Bettlaken " 
the bedspread	die Tagesdecke -n 
the beech tree	die Buche -n 
astounding	erstaunlich 
the beer mat, coaster	der Bierdeckel " 
the beetroot	die Bete -n 
the beginning, start	der Anfang -fänge <br>der Start -s 
the cube, dice	der Würfel " 
the believer	der Gläubiger " Dat.pl: -n <br>die Gläubige 
the bell	die Glocke -n <br>die Klingel -n 
the footpath, sidewalk	der Fußweg -e <br>der Bürgersteig -e 
the bet	die Wette -n 
the betrayal, treason	der Verrat -- 
the bible	die Bibel -n 
the person/party making an offer to sell or to buy	der Anbieter " 
the biennial <br>...art exhibition or show <br>occurring every 2 years	die Biennale -n 
the Big Bang	der Urknall -- 
the bigwig, <br>big shot, <br>fat cat 	der Bonze -n 
the birch tree	die Birke -n 
the blackboard	die Tafel -n Die Lehrerin schrieb die Vokabeln an die Tafel. 
the blackness, darkness	die Schwärze -n<br>die Dunkelheit -en 
the blame, <br>guilt, <br>fault, <br>responsibility	die Schuld -en <br>der Fehler " ich war schuld daran, dass wir zu spät kamen. 
the ceiling, <br>cover	die Decke -n 
the beeper	der Piepser " 
the blessing	der Segen " 
the blouse	die Bluse -n 
the punch, blow, strike	der Schlag -läge 
the board, plank, shelf	das Brett -er 
the body part	der Körperteil -e 
the bolt	der Bolzen " 
the bomb	die Bombe -n 
the boo call	der Buhruf -e 
the border crossing	der Grenzübergang -gänge 
the border, <br>limit, deadline	die Grenze -n 
the bow<br>arrow	der Bogen Bögen<br>der Pfeil -e 
the flash report, <br>news flash	die Eilmeldung -en 
the bra, brassiere	der Büstenhalter "<br>der BH " 
the braces, suspenders	die Hosenträger " 
the braille	die Blindenschrift -en 
the brass	das Messing -- 
the brass sign plate	das Messingschild -e 
the cheekiness, audacity, brashness 	die Frechheit -en <br>die Dreistigkeit -en <br> 
the break, breach	der Bruch Brüche 
the breast, <br>bosom	der Busen " NOTE: die Brust Brüste = chest 
the breeze	die Brise -n 
the bribe	die Bestechung -en <br>das Schmiergeld -er 
the brick	der Ziegel "<br>der Ziegelstein -e Dat.pl: -en <br>der Backstein -e Dat.pl: -en 
the HQ <br>[head quarters, head office] 	die Zentrale -n 
the broom	der Besen " 
the brother/sister-in-law	der Schwager Schwäger<br>die Schwägerin -nen 
the bucket	der Eimer " 
the bud	die Knospe -n Die Knospen sprießen/gehen auf/entfalten sich. 
the bull <br>policeman [slang]	der Bulle -n 
the bump, dent, <br>bruise 	die Beule -n 
the stove, <br>electric stove, <br>gas stove, <br>microwave, <br>stovetop	der Herd -e <br>der Elektroherd -e <br>der Gasherd -e <br>die Mikrowelle -n<br>die Herdplatte -n 
the burp	der Rülpser " rülpsen = to burp 
the bus stop	die Bushaltestelle -n 
the butterfly	der Schmetterling -e 
the gossip	der Klatsch -- <br>der Tratsch -- 
the bee, <br>bumblebee, <br>wasp 	die Biene -n <br>die Hummel -n <br>die Wespe -n 
the cabbage	der Kohl -e Dat.pl: -en 
the cabin, cubicle	die Kabine -n 
the cafeteria, canteen	die Cafeteria -ien<br>die Kantine -n<br>die Mensa -s [at university] 
the calf (leg)	die Wade -n 
the call center	das Callcenter " 
the recall of a defective product	der Rückruf -e 
the call, shout, <br>reputation	der Ruf -e 
the camping, <br>the camping ground, <br>tent	das Camping -- <br>der Campingplatz -plätze <br>der Zelten " <br>der Zeltplatz -plätze <br>das Zelt -e 
the can, tin	die Büchse -n <br>die Dose -n 
the cancellation	die Stornierung -en 
the candle	die Kerze -n 
the cap [hat]	die Mütze -n 
the cape [geog]	das Kap -s Kap der guten Hoffnung = Cape of Good Hope 
the cardboard	die Pappe -n 
the career soldier	der Berufsoldat -en<br>die Berufsoldatin -nen der Berufsoldat is Weak noun...<br>Singular: den/dem/des Berufsoldaten 
the carpenter	der Zimmermann -männer <br>der Tischler "<br>der Schreiner " 
the carpet	der Teppich -e 
the cart, wheelbarrow	die Karre -n 
the cartel	das Kartell -e 
the shovel, <br>spade	die Schaufel -n <br>der Spaten -- 
the cash	das Bargeld -er 
the catastrophe	die Katastrophe -n 
the catch (fish, etc.)	der Fang Fänge 
the caterpillar	die Raupe -n 
the cause, reason	der Grund Gründe Dat.pl: -en <br>die Begründung -en<br>die Ursache -n Ein guter Grund 
the caution	die Vorsicht -- 
the cavalry	die Kavallerie -n 
the cement, <br>the concrete 	der Zement -e <br>das Beton -- 
the Central European Time (CET)	die mitteleuropäische Zeit (MEZ) -en 
the dozen 	das Dutzend " 
the certainty	die Gewissheit -en <br>die Sicherheit -en 
the certificate <br>reference, testimonial	das Zeugnis -se 
the chain<br>string of lights <br>necklace 	die Kette -n<br>die Lichterkette -n <br>die Halskette -n 
the chalk	die Kreide -n 
the challenge	die Herausforderung -en 
the chamois, shammy	das Fensterleder " 
the channel, gutter	die Rinne -n 
the charge, fee, commission	die Gebühr -en 
the charm	der Charme -- 
the chat, <br>chatter	die Plauderei -en <br>das Geschwätz -- <br>der Schnack -- <br>die Rederei -- 
the cheat, swindler, con-man	der Betrüger "<br>der Schwindler -- <br>der Gauner "<br>der Abzocker" 
the cherry	die Kirsche -n 
the chess	das Schach -- 
the tourist, <br>tourism 	der Tourist -en , die Touristin -nen <br>der Tourismus -- 
the chick, broad [woman]	die Mieze -n <br>die Tussi -s 
the floor	der Fußboden -böden 
the chimney	der Schornstein -e <br>der Kamin -e 
the potato chip/s, <br>french fries 	der Chip -s <br>die Pommes Frites [nur Pl.] 
the choir	der Chor Chöre 
the chunk	der Brocken " 
the circulation, revolution, <br>blood circulation 	der Umlauf -läufe <br>der Kreislauf -läufe Er hat einen schwachen/stabilen Kreislauf. 
the large city/town	die Großstadt -städte 
the city/town map	der Stadtplan -pläne 
the clamp, fastener, terminal <br>dilemma	die Klemme -n Wir sitzen ganz schön in der Klemme! 
the clause, condition, proviso	die Klausel -n 
the claw, talon	die Klaue -n 
the clay	der Lehm -e <br>der Ton -e 
the client [legal]	der Klient -en, die Klientin - nen <br>der Mandant -en, die Mandantin -nen 
the clipboard	das Klemmbrett -er 
the price, <br>prize	der Preis -e<br>die Auszeichnung -en 
the coach, carriage	die Kutsche -n 
the coal	die Kohle -n 
the spider web	die Spinnwebe -n 
the coincidence, <br>chance, <br>by accident 	der Zufall Zufälle 
the cold, chill	die Kälte -- 
the collapse	der Kollaps -e <br>der Zusammenbruch -brüche 
the collar	der Kragen " 
the collar size	die Kragenweite -n 
the collective <br>cooperative	das Kollektiv -e 
the comb	der Kamm Kämme 
the committee of inquiry, <br>investigating committee	der Untersuchungsauschuss -schüsse 
the committee, panel	das Komitee -s<br>das Gremium -mien <br>der Ausschuss -schüsse 
the confusion, disturbance, trouble	die Verwirrung -en 
the competitor, <br>opponent	der Konkurrent -en<br>der Gegner " 
the concern, <br>worry	die Besorgnis -se <br>die Sorge -n 
the concession	das Zugeständnis-se Ihre gefärbten Haare sind ein Zugeständnis an die Mode. 
the condolence 	das Beileid -- <br>die Kondolenz -en<br>die Anteilnahme -n 
the conscience	das Gewissen " Er bekam ein schlechtes Gewissen, als er sah, wie weh er ihr getan hatte. 
the consent, agreement	die Einwilligung -en 
the conservative	der Konservative -n ...zurückhaltend... 
the consideration, <br>rear view	die Berücksichtigung -en<br>die Rücksicht -en 
the constitution	die Verfassung -en <br>der Grundgesetz " 
the constitutional protection	der Verfassungsschutz -- 
the consumption	der Konsum -- <br>der Verbrauch -- 
the container	der Container " <br>der Behälter " 
the blood vessel, <br>container	das Gefäß -e 
the contamination, pollution	die Verseuchung -en 
the contempt, <br>scorn, <br>ridicule 	die Verachtung -en <br>der Hohn -- Jemanden mit Verachtung strafen.<br>Das ist der reinste Hohn. 
the continuation <br>sequel	die Fortsetzung -en 
the convergence	die Annäherung -en 
the water coolant 	das Kühlwasser -wässer 
the cooling, refrigeration	die Kühlung -en 
the copper	das Kupfer -- 
the copy, duplicate	die Kopie -n 
the co-resident	der Mitbewohner " <br>die Mitbewohnerin -nen 
the corner	die Ecke -n 
the corpse, body	die Leiche -n 
the dilemma 	das Dilemma -s <br>die Zwickmühle -n In einer Zwickmühle sein 
the costs	die Kosten [pl] 
the count, earl	der Graf -en <br>die Gräfin -nen 
the trouble, <br>difficulty 	die Schwerigkeit -en <br>der Ärger -- 
the coup, <br>putsch, <br>revolt	der Putsch -e 
the courage, spirit	der Mut -- 
the course, sequence, <br>draining of fluid	der Ablauf -läufe 
to react, repond	reagieren 
the courtroom	der Gerichtssaal -säle 
the cousin	der Cousin -s <br>die Cousine -n <br>der Vetter -n 
the cover, <br>guard, <br>backing, <br>security	die Deckung -en 
the coward	der Feigling -e 
the creation, conception	die Schöpfung -en 
the credibility, believability	die Glaubwürdigkeit -en 
the creditor, believer	der Gläubiger " <br>die Gläubigerin -nen 
the creek, stream 	der Bach Bäche 
the cricket [insect]	die Grille -n 
the criminal offence	die Straftat -en 
the crisis	die Krise -n 
the job application 	die Bewerbung -en 
the crook, <br>"old devil"	der Ganove -n <br>die Ganovin -nen 
the crosswalk, <br>pedestrian crossing, <br>zebra-crossing 	der Fußgängerübergang -gänge <br>der Zebrastreifen -- 
the crouch, squat position	die Hocke -n 
the crowd, throng	das Gedränge -- <br>die Menge -n 
the cruise	die Kreuzfahrt -en 
the crutch	die Krücke -n 
the CT scan	die Computertomographie -n 
the flat rate, <br>lump sum	die Pauschale -n 
the club, police nightstick/baton	der Knüppel " 
the big numbers...<br>hundred 100<br>thousand 1,000<br>million 1,000,000<br>billion 1,000,000,000<br>trillion 1,000,000,000,000	Die großen Zahlen... <br>die Hundert " 100<br>die Tausend -e 1.000<br>die Million -en 1.000.000<br>die Milliarde -n 1.000.000.000<br>die Billion -en 1.000.000.000.000 
the cultivation, breeding	die Zucht -en 
the curiosity, <br>inquisitiveness	die Neugier -- 
the curious person, <br>observer, <br>gawker, <br>rubber-necker	die Schaulustige -n 
the currency	die Währung -en 
the custom, tradition	die Tradition -en <br>der Brauch Bräuche <br>der Gebrauch Gebräuche <br>die Gepflogenheit -en <br>die Sitte -n 
the cut, editing	der Schnitt -e 
the dike, <br>dirt wall, <br>bank 	der Deich -e 
the dandruff	der Kopfschuppen " 
the anesthetic 	die Betäubung -en 
the debut, <br>new job start	der Einstand -stände 
the decade	das Jahrzehnt -e 
the notification of a decision	der Bescheid -e 
the decline, demise, downfall	der Niedergang -- <br>der Untergang -gänge<br>der Ruin -- <br>der Sturz Stürze <br> 
the decree	das Dekret -e <br>der Erlass -e 
the deduction, withdrawal	der Abzug -züge 
the defect	der Defekt -e 
the German federal defense force	die Bundeswehr -- Die Bundeswehr nennt man die Streitkräfte der Bundesrepublik Deutschland. <br>Mit 18 muss er zum Bund [= Bundeswehr]. 
the defiance	der Trotz -- Im Alter von zwei bis vier Jahren machen Kinder eine Trotzphase durch. 
the failure, <br>breakdown, <br>loss 	der Ausfall -fälle der Ausfall aller Antriebssysteme 
the hesitation 	die Verzögerung -en 
the delegation	die Delegation -en<br>die Abordnung -en 
the demeanor, appearance, <br>occurrence	das Auftreten -- Ein sicheres Auftreten haben. <br>Bei Auftreten von Schwellungen… = in case swelling occurs... 
the denial, <br>disclaimer	die Ablehnung -en <br>die Verleugnung -en <br>das Dementi -s 
the dentist	der Zahnarzt -ärzte <br>die Zahnarztin -ärztinnen 
the depiction	die Darstellung -en <br>die Schilderung -en 
the depletion, <br>shrinkage, <br>loss	der Schwund -- 
the hollow, depression, dip, drain	die Senke -n 
the deputy	 der Stellvertreter " Dat.pl: -n <br>die Stellvertreterin -nen 
the desert 	die Wüste -n 
the deserter	der Deserteur -e 
the desk	der Schreibtisch -e 
the deskpad	die Schreibunterlage -n 
desolate <br>wasteland	öde 
the destiny	das Schicksal -e <br>die Bestimmung -en 
the detective novel or film	der Krimi -s 
the detour, <br>bypass, <br>diversion	die Umleitung -en <br>der Umweg <br>die Umgehung -en <br>die Umgehungsstraße -n 
the dew	der Tau -e ( das Tau -e = rope ) 
the diamond	die Diamant -en 
the playing cards... <br>heart, diamond, club, spade<br>ace 2 3 4 5 6 7 8 9 10 knight queen king 	die Spielkarten...<br>das Herz, Karo, Kreuz, Pik<br>As <br>zwei <br>drei <br>vier <br>fünf <br>sechs <br>sieben <br>acht <br>neun <br>zehn <br>Bube <br>Dame <br>König<br> 
the dietary fibre	die Ballaststoffe [Plur.] 
the difficult age	das Trotzalter -- 
the digestion	die Verdauung -en 
the digit, numeral, figure, numbered clause	die Ziffer -n 
the dignity, <br>rank, title	die Würde -n Die Würde des Menschen gilt als unantastbar. 
the stall, stand [at market place] 	die Bude -n 
the decay, deterioration, dillapidation	der Verfall -- 
the disadvantage	der Nachteil -e 
the displeasure	der Unmut -- Er hat seinen Unmut darüber geäußert. 
the discount, <br>estate, inheritance 	der Nachlass -lässe 
the discovery	die Entdeckung -en 
the discussion about the situation	die Lagebesprechung -en 
the disgust	der Ekel -- Er hat das Essen vor Ekel ausgespuckt 
the dish, meal <br>court of law	das Gericht -e 
the dislocation	die Verrenkung -en 
the dispenser, <br>donor, contributor	der Spender " <br>die Spenderin -nen 
the width	die Breite -n 
the distance, gap, interval, clearance	der Abstand -stände 
the distribution, <br>output, <br>issue, edition, <br>expenses, costs	die Ausgabe -n 
the donation	die Spende -n 
the doorbell	die Türklingel -n 
the doorbell button	der Klingelknopf -knöpfe 
the dormitory, residence hall	das Wohnheim -e 
the doubt	der Zweifel " 
the dough, pastry, batter, mixture	der Teig -e 
the pouring of water, concrete, icing	der Guss Güsse Das war ein Regenguss! 
the flea	der Floh Flöhe 
the drawer [furniture]	die Schublade -n 
the dressing down, <br>bollocking	der Anschiss -e 
the automatic vending machine, <br>drink vending machine 	der Automat -en <br>der Getränkautomat -en 
the drive, thrust	der Schub Schübe 
the drive, motivation, <br>propulsion 	der Antrieb -e 
the drum <br>base-drum	das Schlagzeug -edie Trommel -n <br />die Pauke -n 
the drunkard (heavy drinker)	der Säufer -- 
the drunkenness	der Suff -- 
the duke <br>duchess 	der Herzog -zöge <br>die Herzogin -nen 
the dumbbell, <br>barball	die Hantel -n 
the dummy	die Attrappe -n 
the dumpling	der Kloß Klöße <br>der Knödel " 
the dust	der Staub -- 
the duty 	die Pflicht -en Unsere Kinder übernehmen schon kleine Pflichten im Haushalt. 
the eagle	der Adler " 
the earthquake	das Erdbeben " 
the economist	der Volkswirt -e <br>die Volkswirtin -nen 
the dam [water]	der Staudamm -e <br>die Talsperre -n 
the fox	der Fuchs Füchse 
the asphalt, <br>bitumen	der Asphalt -e 
the asylum	das Asyl -e 
the appetite	der Appetit -- 
the equator	der Äquator -- 
the edge [of an object]	die Kante -n <br>der Rand Ränder 
the editor	der Redakteur -e <br>die Redakteurin -nen 
the effort, endeavor	die Mühe -n <br>die Bemühung -en <br>die Anstrengung -en 
the eggplant	die Aubergine -n 
the elephant's trunk	der Russel " 
the elevator, lift	der Fahrstuhl -stühle <br>der Aufzug -züge 
the elm tree	die Ulme -n 
the embankment	die Böschung -en 
the embassy, <br>good news	die Botschaft -en 
the emergency	der Notfall -fälle 
the entrepeneur	der Unternehmer " 
the envelope	der Umschlag -schläge 
the envoy, emissary	der Abgesandte -n 
the furnishing, <br>fittings, <br>features	die Ausstattung -en <br>die Einrichtung -en Die Wohnung hat eine moderne Ausstattung. 
the escalator	die Rolltreppe -n 
the escape, flight (fleeing)	die Flucht -en 
the etiquette	die Etikette -- Die Etikette verlangt, dass man beim Besuch.... <br><br>NOTE: das Etikett -e = price tag 
the school exam	die Klausur -en<br>die Prüfung -en 
boring	langweilig 
the excess	das Exzess -e 
the exclamation mark [ ! ] 	das Ausrufezeichen " [ ! ] 
the excuse	die Ausrede -n 
the execution	die Hinrichtung -en 
the calcium, <br>lime 	das Kalzium -- <br>der Kalk -- 
the expectation, anticipation	die Erwartung -en 
the expenditure, outlay	der Aufwand -- Der Aufwand hat sich gelohnt. 
the expert report	das Gutachten " 
the explosive	der Sprengstoff -stöffe <br>der Zundstoff -stöffe 
the extortion, <br>blackmail 	die Erpressung -en 
the facial expression	der Gesichtsausdruck -drücke 
the fact 	die Tatsache -n 
the circumstance	der Umstand -stände 
the failure	das Versagen -- <br>der Misserfolg -e <br>der Fehlschlag -äge 
the fair, carnival, <br>festival, <br>harvest festival 	der Jahrmarkt -märkte, <br>das Fest -e<br>das Erntefest -e 
the fairness, justice, <br>social justice 	die Gerechtigkeit -en <br>die soziale Gerechtigkeit -en 
the crash (aircraft), collapse, flop	der Absturz -stürze 
the fasting	das Fasten -- Verb: ich faste, wir fasten, usw. 
the fatal shot	der Todesschuss -schüsse 
the fellow student	der Kommilitone -n <br>die Kommilitonin -nen 
the guy, fellow, chap, bloke, person	der Kerl -e 
the fertilizer	das Düngemittel " 
the loyalty, faithfulness	die Treue -- 
the fig [fruit]	die Feige -n 
the fig tree	der Feigenbaum -bäume 
the file [data] 	die Datei -en aufrufen = call, open<br>abspeichern = save <br>anlegen = create <br>löschen = delete 
the file, rasp [tool]	die Feile -n 
the search engine	die Suchmachine -n 
the backing, <br>rear cover, <br>covering one's rear/ass	die Rückendeckung -en 
	 
